"HolderAddress","Balance","PendingBalanceUpdate"
"0x3154cf16ccdb4c6d922629664174b904d80f2c35","54,337,841.547540620653600962","No"
"0xd26c85d435f02dab8b220cd4d2d398f6f646e235","3,263,096.255750629043859589","No"
"0xbd53450702a341f356d609d76044db8a06e200b3","3,127,605.483108845348374997","No"
"0x244265a76901b8030b140a2996e6dd4703cbf20f","2,759,064.424564657789450146","No"
"0x9354209b880ac0abb02821cb3915a6eeb9a9336c","2,719,999.999999998835846781","No"
"0xfeb9bdcf0b5eec884777222d58583b1569400585","2,527,947.943481685307613272","No"
"0x709f1eded58f310af8f3b40399695383b35309d0","2,500,002.5","No"
"0x0602518115f7931cd94bbdfc413c9e445a8e7db9","2,500,000","No"
"0xb9948503c21cd918adc48d1c77c522c1c5325e72","2,311,279.812608557858971604","No"
"0x43ce086a7769adc7921090cff6fb1c8efd62fb26","2,000,000","No"
"0xb6420c6eae0325edba74845462c6760c6d706766","2,000,000","No"
"0x8d3c9f4d0a8dbb6d5e2068ac36719290f7988cc1","1,949,983.411951281695376961","No"
"0xbc491d0eae558b0beba2dabcc6497cbdd20df9d2","1,882,346","No"
"0x79ea0a678cf18a95dd73660f59ee874b4a7df13f","1,875,001.875","No"
"0xffa73f27115f57644b035380ea92287ddd6c3b3b","1,625,000.875","No"
"0x61e2f3465a187c87bf8988e864764b338745fa60","1,000,000","No"
"0x3fa19e392cc3da6271217d9ab30ef46721278ead","780,331.510493653185217973","No"
"0x7e2e80e8250844dd4e558f13850380d5af8f0c61","750,000","No"
"0xc96e32bdd92327e32d71384c4c54f0a134dfbb26","608,408.244750914477852991","No"
"0xd1bbbc228a4753b9763a111e396a4a3083762a39","560,000","No"
"0x9eed40ba17c27a8cfbe6ec3aa7a418af54e34b91","541,000","No"
"0xcd635df513ebbbbb618fc6c63173adf8659a520d","500,000","No"
"0xba712398fdb5bbb00c588e842a2475c90f7c15fe","500,000","No"
"0x41224f2f3e121c5c581eac2ee4a98fe1ab572012","432,656.35200156724260749","No"
"0x1db323c3fd4caa6185bd658c576ab841f3cbd2d1","370,124.285386341155811564","No"
"0x9d4785305bd0d12b6eb27c5fb6f235fa08516c90","250,000.25","No"
"0xa67ece9340dd55168b50080276be3eb94925c587","250,000.25","No"
"0xa9f7bf2829bbd6b96cc89073996db4f1b9a1d5a2","250,000.25","No"
"0x858da48232ea6731f22573dc711c0cc415c334c5","249,997.32","No"
"0x636bae3f76b4ccb486f50bf192ea2a8d22d1a79a","237,261.064284392124815186","No"
"0xa1992139fb9d37b2ab078c2e7556e2d961f57848","199,584.466142267726100641","No"
"0x940c3f972c6eebf21d30e8fc86dcaf95f4dd5e28","165,571.965372907203224779","No"
"0x073defba5deed8657ac6091afa0798b7cab8f782","157,716.417332612302878655","No"
"0x8614117946175757341b497b688c0c0662838e8e","144,597.556450864377720055","No"
